Customer_ID,Product_ID,Order_Number,Order_Date,N_Items,List_Price,Description,Country_Code,Country,Gender,Birthday,Colour,Category,Inventory,Category,Pattern
100001,203030101,21,22/01/2019,3,49.99,Relaxed and Casual Shirts White Plain,124,Canada,0,10/05/2004,WHITE,SHIRTS,81,RELAXED AND CASUAL,PLAIN
100001,101050703,19,20/01/2019,8,99.99,Contemporary and Clean Jackets Red Geometric,124,Canada,0,10/05/2004,RED,JACKETS,83,CONTEMPORARY AND CLEAN,GEOMETRIC
100001,102050701,19,20/01/2019,8,49.99,Utility and Basics Jackets Red Plain,124,Canada,0,10/05/2004,RED,JACKETS,33,UTILITY AND BASICS,PLAIN
100001,202040503,19,20/01/2019,8,129.99,Utility and Basics Pants Green Geometric,124,Canada,0,10/05/2004,GREEN,PANTS,55,UTILITY AND BASICS,GEOMETRIC
100001,103010103,21,22/01/2019,3,39.99,Relaxed and Casual Hats White Geometric,124,Canada,0,10/05/2004,WHITE,HATS,15,RELAXED AND CASUAL,GEOMETRIC
100001,204040602,19,20/01/2019,8,159.99,Dress to Impress Pants Purple Striped,124,Canada,0,10/05/2004,PURPLE,PANTS,4,DRESS TO IMPRESS,STRIPED
100001,101030409,58,21/01/2019,3,19.99,Contemporary and Clean Shirts Blue Floral,124,Canada,0,10/05/2004,BLUE,SHIRTS,42,CONTEMPORARY AND CLEAN,FLORAL
100001,201010508,58,22/01/2019,3,39.99,Contemporary and Clean Hats Green Polka Dots,124,Canada,0,10/05/2004,GREEN,HATS,9,CONTEMPORARY AND CLEAN,POLKA DOTS
100001,102060703,19,23/01/2019,8,19.99,Utility and Basics sweaters Red Geometric,124,Canada,0,10/05/2004,RED,SWEATERS,48,UTILITY AND BASICS,GEOMETRIC
100001,103040101,21,24/01/2019,3,59.99,Relaxed and Casual Pants White Plain,124,Canada,0,10/05/2004,WHITE,PANTS,4,RELAXED AND CASUAL,PLAIN
100001,102050603,93,25/01/2019,2,59.99,Utility and Basics Jackets Purple Geometric,124,Canada,0,10/05/2004,PURPLE,JACKETS,6,UTILITY AND BASICS,GEOMETRIC
100001,202030501,19,26/01/2019,8,89.99,Utility and Basics Shirts Green Plain,124,Canada,0,10/05/2004,GREEN,SHIRTS,19,UTILITY AND BASICS,PLAIN
100001,101050410,58,27/01/2019,3,49.99,Contemporary and Clean Jackets Blue Animal print,124,Canada,0,10/05/2004,BLUE,JACKETS,97,CONTEMPORARY AND CLEAN,ANIMAL PRINT
100001,101050702,19,28/01/2019,8,149.99,Contemporary and Clean Jackets Red Striped,124,Canada,0,10/05/2004,RED,JACKETS,61,CONTEMPORARY AND CLEAN,STRIPED
